X1,variable,Division_Name,District_Name,Tehsil_Name,value,Column,Source,Description,Unit
1,Aerosol_Exposure_Index,Hazara,Abbottabad,Abbottabad,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
2,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Bar Chamarkand,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
3,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Barang,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
4,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Khar,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
5,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Mamund,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
6,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Nawagai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
7,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Salarzai Tehsil,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
8,Aerosol_Exposure_Index,F.A.T.A.,Bajaur,Utman Khel Tehsil,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
9,Aerosol_Exposure_Index,F.A.T.A.,Bannu,Bannu,99.9406967,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
10,Aerosol_Exposure_Index,F.A.T.A.,Bannu,Domel,100,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
11,Aerosol_Exposure_Index,Hazara,Batagram,Alai,0,O,TROPOMI Level 2 Products 2021. Available  at: http://www.tropomi.eu/data-products/uv-aerosol-index,"Index value based on tehsil population share exposed to highest UVAI quintile values. The tehsil with the highest exposed population share is allocated a value of 100, with all other tehsils allocated a proportional value based on their respective share of exposed population.",Dimensionless (0-100)
