"","Division_Name","District_Name","Tehsil_Name","Tehsil_Mean_RWI","Tehsil_Min_RWI","Tehsil_Max_RWI","Mean_LSI_Weighted","Mean_LSI_Unweighted","Mean_AI_Weighted","Mean_AI_Unweighted","Mean_LSI_Weighted_Transformed","Mean_AI_Weighted_Transformed","admin2Name","district","admin1Pcod","admin2Pcod"
"1","Hazara","Abbottabad","Abbottabad","2.69929245283019E-2","-0.79400000000000004","1.3759999999999999","1.14183802008753E-3","0.120724868457491","1.6534071504014901E-3","0.28878196769960601","6.2269753307322306E-5","1.08989887702981E-4","Abbottabad","Abbottabad","KP01","KP01001"
"2","F.A.T.A.","Bajaur","Bar Chamarkand","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Bar Chamarkand","Bajaur","KP02","KP02001"
"3","F.A.T.A.","Bajaur","Barang","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Barang","Bajaur","KP02","KP02002"
"4","F.A.T.A.","Bajaur","Khar","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Khar","Bajaur","KP02","KP02003"
"5","F.A.T.A.","Bajaur","Mamund","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mamund","Bajaur","KP02","KP02004"
"6","F.A.T.A.","Bajaur","Nawagai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nawagai","Bajaur","KP02","KP02005"
"7","F.A.T.A.","Bajaur","Salarzai Tehsil","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Salarzai Tehsil","Bajaur","KP02","KP02006"
"8","F.A.T.A.","Bajaur","Utman Khel Tehsil","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Utman Khel Tehsil","Bajaur","KP02","KP02007"
"9","F.A.T.A.","Bannu","Bannu","9.6768292682926794E-3","-0.748","1.173","9.1998500597618397E-4","0.120388830024537","1.3284999569865099E-3","0.28812086917817298","4.7521730068941101E-5","8.2906753236755895E-5","Bannu","Bannu","KP03","KP03001"
"10","F.A.T.A.","Bannu","Domel","-5.0699029126213602E-2","-0.69699999999999995","1.325","1.84782018123187E-3","0.11998210891199799","2.66383886247734E-3","0.28774833720605197","1.09201012547341E-4","1.9010605487060201E-4","Domel","Bannu","KP03","KP03002"
"11","Hazara","Batagram","Alai","-0.23176146788990801","-0.93","1.0229999999999999","9.1622833250257305E-3","0.12086920299916699","1.3231996817706201E-2","0.28913265354134798","5.9544129579547399E-4","1.03850427624969E-3","Alai","Batagram","KP04","KP04001"
"12","Hazara","Batagram","Batagram","-5.7880952380952401E-2","-0.72299999999999998","1.099","3.0678264434176399E-3","0.120130624767572","4.4325351300837697E-3","0.28813375997976698","1.9030282122800001E-4","3.3209473198482801E-4","Batagram","Batagram","KP04","KP04002"
"13","Mardan","Buner","Chagharzai","-0.20716176470588199","-0.88500000000000001","0.57399999999999995","15.0431034482759","0.34375","12.4568965542933","0.45833333581685998","1","1","Chagharzai","Buner","KP05","KP05001"
"14","Mardan","Buner","Chamla","-0.15331168831168801","-0.94199999999999995","0.86799999999999999","9.2207447716026406E-3","0.120361328125","1.32900210381411E-2","0.28803943970290502","5.9932761113862796E-4","1.0431623865488E-3","Chamla","Buner","KP05","KP05002"
"15","Mardan","Buner","Daggar","-0.13036923076923099","-0.79600000000000004","0.69199999999999995","9.1764057928915392E-3","0.12065489432703","1.3248748254622101E-2","0.288607717451284","5.9638010875279505E-4","1.0398490602077999E-3","Daggar","Buner","KP05","KP05003"
"16","Mardan","Buner","Gagra","-6.0020833333333301E-2","-0.85499999999999998","0.98299999999999998","9.2298869767852391E-3","0.121102449888641","1.32981544812676E-2","0.28878990865264798","5.9993535340899099E-4","1.0438153289737101E-3","Gagra","Buner","KP05","KP05004"
"17","Mardan","Buner","Pir Baba/ Gadaizi","-0.21922619047618999","-0.90800000000000003","0.96499999999999997","4.6177147128466604E-3","0.120073375262055","6.6573656321643601E-3","0.28774750110238401","2.93334048033697E-4","5.1070128279827396E-4","Pir Baba/ Gadaizi","Buner","KP05","KP05005"
"18","Mardan","Buner","Totalai","-0.248602941176471","-0.85399999999999998","0.77300000000000002","9.1971972504286004E-3","0.120651266351239","1.32615548870263E-2","0.28833844103572298","5.9776225314305497E-4","1.04087716029862E-3","Totalai","Buner","KP05","KP05006"
