"","TEHSIL","variable","value"
"1","Abbottabad","housing_area_T",831569
"2","Alai","housing_area_T",103434
"3","Alpuri","housing_area_T",4158
"4","Babuzai","housing_area_T",410849
"5","Bahrain","housing_area_T",424
"6","Balakot","housing_area_T",308665
"7","Banda Daud Shah","housing_area_T",597
"8","Bannu","housing_area_T",1030976
"9","Barawal","housing_area_T",103088
"10","Barikot","housing_area_T",102854
"11","Batagram","housing_area_T",308487
"12","Bisham","housing_area_T",2537
"13","Chagharzai","housing_area_T",290
"14","Chamla","housing_area_T",102833
"15","Charbagh","housing_area_T",102784
"16","Charsadda","housing_area_T",617902
"17","Chiksar","housing_area_T",102675
"18","Chitral","housing_area_T",411104
"19","Daggar","housing_area_T",103054
"20","Daraban","housing_area_T",410381
"21","Dassu","housing_area_T",211499
"22","Dera Ismail Khan","housing_area_T",517305
"23","Dir","housing_area_T",208324
"24","Domel","housing_area_T",514041
"25","Fr Kala Dhaka","housing_area_T",102561
"26","Gagra","housing_area_T",103529
"27","Ghazi","housing_area_T",103277
"28","Hangu","housing_area_T",308436
"29","Haripur","housing_area_T",412716
"30","Kabal","housing_area_T",719658
"31","Kalam","housing_area_T",102631
"32","Kalkot","housing_area_T",74
"33","Karak","housing_area_T",513336
"34","Katlang","housing_area_T",206238
"35","Khwazakhela","housing_area_T",207717
"36","Kohat","housing_area_T",724304
"37","Kulachi","housing_area_T",1535
"38","Lachi","housing_area_T",205723
"39","Lahor","housing_area_T",618541
"40","Lakki Marwat","housing_area_T",1027696
"41","Mansehra","housing_area_T",822383
"42","Mardan","housing_area_T",416426
"43","Martung","housing_area_T",102612
"44","Mastuj","housing_area_T",104545
"45","Matta Khararai","housing_area_T",205783
"46","Matta Sebujni","housing_area_T",1414
"47","Nowshera","housing_area_T",828500
"48","Oghi","housing_area_T",309701
"49","Pabbi","housing_area_T",307987
"50","Paharpur","housing_area_T",104088
"51","Palas","housing_area_T",821018
"52","Pattan","housing_area_T",205741
"53","Peshawar","housing_area_T",4633835
"54","Pir Baba/ Gadaizi","housing_area_T",205151
"55","Puran","housing_area_T",103165
"56","Sam Ranizai","housing_area_T",308535
"57","Samar Bagh","housing_area_T",208934
"58","Sarai Naurang","housing_area_T",616173
"59","Swabi","housing_area_T",618301
"60","Swat Ranizai","housing_area_T",206872
"61","Takht Bhai","housing_area_T",207115
"62","Takht E Nasrati","housing_area_T",411494
"63","Tall","housing_area_T",923049
"64","Tangi","housing_area_T",4442
"65","Tank","housing_area_T",310126
"66","Timergara","housing_area_T",1334674
"67","Topi","housing_area_T",312384
"68","Totalai","housing_area_T",102790
"69","Wari","housing_area_T",311227
