"","adm1_en","adm1_code","adm2_en","adm2_code","district_PSLM","district_PSLM_num","variable","value"
"1","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"distance","1.8216968"
"2","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"distance","1.5490875"
"3","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"distance","1.9157468"
"4","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"distance","1.7317134"
"5","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"distance","1.764549"
"6","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"distance","1.3384176"
"7","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"distance","1.7359643"
"8","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"distance","1.6327176"
"9","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"distance","1.4991914"
"10","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"distance","1.7349783"
"11","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"distance","2.3362021"
"12","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"distance","1.1561112"
"13","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"distance","1.2852443"
"14","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"distance","3.2149572"
"15","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"distance","2.1509812"
"16","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"distance","1.8671582"
"17","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"distance","1.5741543"
"18","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"distance","1.6618788"
"19","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"distance","2.129343"
"20","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"distance","1.4460901"
"21","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"distance","2.2590601"
"22","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"distance","2.4985447"
"23","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"distance","1.2804418"
"24","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"distance","1.9817576"
"25","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"distance","1.3054487"
"26","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"distance","0.76170963"
"27","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"distance","2.0676823"
"28","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"distance","1.0243256"
"29","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"distance","1.3666019"
"30","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"distance","2.3081865"
"31","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"distance","2.2887034"
"32","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"distance","2.0949354"
"33","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_basic_health_unit","1.754813"
"34","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_basic_health_unit","2.1992538"
"35","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_basic_health_unit","1.3881078"
"36","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_basic_health_unit","1.8961825"
"37","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_basic_health_unit","2.2538939"
"38","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_basic_health_unit","1.3414801"
"39","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_basic_health_unit","1.7548956"
"40","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_basic_health_unit","0.79874647"
"41","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_basic_health_unit","2.2292304"
"42","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_basic_health_unit","1.7081952"
"43","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_basic_health_unit","2.3897026"
"44","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_basic_health_unit","2.8357797"
"45","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_basic_health_unit","1.4705502"
"46","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_basic_health_unit","2.6102724"
"47","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_basic_health_unit","2.6680415"
"48","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_basic_health_unit","1.5214539"
"49","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_basic_health_unit","2.6397133"
"50","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_basic_health_unit","2.1279781"
"51","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_basic_health_unit","3.2367806"
"52","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_basic_health_unit","1.8009683"
"53","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_basic_health_unit","2.6276364"
"54","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_basic_health_unit","2.2347405"
"55","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_basic_health_unit","1.1443709"
"56","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_basic_health_unit","2.0483887"
"57","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_basic_health_unit","1.4318929"
"58","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_basic_health_unit","0.70737106"
"59","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_basic_health_unit","2.9726536"
"60","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_basic_health_unit","1.0288351"
"61","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_basic_health_unit","2.5912437"
"62","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_basic_health_unit","2.7471194"
