"","adm1_en","adm2_en","variable","value"
"1","Khyber Pakhtunkhwa","Abbottabad","student_pop",183592
"2","Khyber Pakhtunkhwa","Bajaur","student_pop",NA
"3","Khyber Pakhtunkhwa","Bannu","student_pop",125339
"4","Khyber Pakhtunkhwa","Batagram","student_pop",65320
"5","Khyber Pakhtunkhwa","Buner","student_pop",164609
"6","Khyber Pakhtunkhwa","Charsadda","student_pop",211465
"7","Khyber Pakhtunkhwa","Chitral","student_pop",79725
"8","Khyber Pakhtunkhwa","Dera Ismail Khan","student_pop",176660
"9","Khyber Pakhtunkhwa","FR Bannu","student_pop",44
"10","Khyber Pakhtunkhwa","FR Dera Ismail Khan","student_pop",NA
"11","Khyber Pakhtunkhwa","FR Kohat","student_pop",66
"12","Khyber Pakhtunkhwa","FR Lakki Marwat","student_pop",NA
"13","Khyber Pakhtunkhwa","FR Peshawar","student_pop",NA
"14","Khyber Pakhtunkhwa","FR Tank","student_pop",88
"15","Khyber Pakhtunkhwa","Hangu","student_pop",61724
"16","Khyber Pakhtunkhwa","Haripur","student_pop",140852
"17","Khyber Pakhtunkhwa","Karak","student_pop",113979
"18","Khyber Pakhtunkhwa","Khyber","student_pop",NA
"19","Khyber Pakhtunkhwa","Kohat","student_pop",142054
"20","Khyber Pakhtunkhwa","Kohistan","student_pop",71573
"21","Khyber Pakhtunkhwa","Kurram","student_pop",NA
"22","Khyber Pakhtunkhwa","Lakki Marwat","student_pop",118917
"23","Khyber Pakhtunkhwa","Lower Dir","student_pop",262006
"24","Khyber Pakhtunkhwa","Malakand PA","student_pop",131995
"25","Khyber Pakhtunkhwa","Mansehra","student_pop",228258
"26","Khyber Pakhtunkhwa","Mardan","student_pop",354934
"27","Khyber Pakhtunkhwa","Mohmand","student_pop",NA
"28","Khyber Pakhtunkhwa","North Waziristan","student_pop",NA
"29","Khyber Pakhtunkhwa","Nowshera","student_pop",181206
"30","Khyber Pakhtunkhwa","Orakzai","student_pop",NA
"31","Khyber Pakhtunkhwa","Peshawar","student_pop",375947
"32","Khyber Pakhtunkhwa","Shangla","student_pop",96059
"33","Khyber Pakhtunkhwa","South Waziristan","student_pop",NA
"34","Khyber Pakhtunkhwa","Swabi","student_pop",252632
"35","Khyber Pakhtunkhwa","Swat","student_pop",342147
"36","Khyber Pakhtunkhwa","Tank","student_pop",45835
"37","Khyber Pakhtunkhwa","Tor Ghar","student_pop",16883
"38","Khyber Pakhtunkhwa","Upper Dir","student_pop",192154
"39","Khyber Pakhtunkhwa","Abbottabad","pop_girls_primary_student",47923
"40","Khyber Pakhtunkhwa","Bajaur","pop_girls_primary_student",0
"41","Khyber Pakhtunkhwa","Bannu","pop_girls_primary_student",35137
"42","Khyber Pakhtunkhwa","Batagram","pop_girls_primary_student",16385
"43","Khyber Pakhtunkhwa","Buner","pop_girls_primary_student",35879
"44","Khyber Pakhtunkhwa","Charsadda","pop_girls_primary_student",57864
"45","Khyber Pakhtunkhwa","Chitral","pop_girls_primary_student",14656
"46","Khyber Pakhtunkhwa","Dera Ismail Khan","pop_girls_primary_student",48139
"47","Khyber Pakhtunkhwa","FR Bannu","pop_girls_primary_student",0
"48","Khyber Pakhtunkhwa","FR Dera Ismail Khan","pop_girls_primary_student",0
"49","Khyber Pakhtunkhwa","FR Kohat","pop_girls_primary_student",0
"50","Khyber Pakhtunkhwa","FR Lakki Marwat","pop_girls_primary_student",0
"51","Khyber Pakhtunkhwa","FR Peshawar","pop_girls_primary_student",0
"52","Khyber Pakhtunkhwa","FR Tank","pop_girls_primary_student",88
"53","Khyber Pakhtunkhwa","Hangu","pop_girls_primary_student",12161
"54","Khyber Pakhtunkhwa","Haripur","pop_girls_primary_student",34801
"55","Khyber Pakhtunkhwa","Karak","pop_girls_primary_student",20223
"56","Khyber Pakhtunkhwa","Khyber","pop_girls_primary_student",0
"57","Khyber Pakhtunkhwa","Kohat","pop_girls_primary_student",37783
"58","Khyber Pakhtunkhwa","Kohistan","pop_girls_primary_student",22264
"59","Khyber Pakhtunkhwa","Kurram","pop_girls_primary_student",0
"60","Khyber Pakhtunkhwa","Lakki Marwat","pop_girls_primary_student",22302
"61","Khyber Pakhtunkhwa","Lower Dir","pop_girls_primary_student",68346
"62","Khyber Pakhtunkhwa","Malakand PA","pop_girls_primary_student",34787
"63","Khyber Pakhtunkhwa","Mansehra","pop_girls_primary_student",53340
"64","Khyber Pakhtunkhwa","Mardan","pop_girls_primary_student",98100
"65","Khyber Pakhtunkhwa","Mohmand","pop_girls_primary_student",0
"66","Khyber Pakhtunkhwa","North Waziristan","pop_girls_primary_student",0
"67","Khyber Pakhtunkhwa","Nowshera","pop_girls_primary_student",55998
"68","Khyber Pakhtunkhwa","Orakzai","pop_girls_primary_student",0
"69","Khyber Pakhtunkhwa","Peshawar","pop_girls_primary_student",117364
"70","Khyber Pakhtunkhwa","Shangla","pop_girls_primary_student",14423
"71","Khyber Pakhtunkhwa","South Waziristan","pop_girls_primary_student",0
"72","Khyber Pakhtunkhwa","Swabi","pop_girls_primary_student",68104
"73","Khyber Pakhtunkhwa","Swat","pop_girls_primary_student",99980
"74","Khyber Pakhtunkhwa","Tank","pop_girls_primary_student",14678
"75","Khyber Pakhtunkhwa","Tor Ghar","pop_girls_primary_student",3851
"76","Khyber Pakhtunkhwa","Upper Dir","pop_girls_primary_student",36088
"77","Khyber Pakhtunkhwa","Abbottabad","pop_girls_middle_student",5887
"78","Khyber Pakhtunkhwa","Bajaur","pop_girls_middle_student",0
"79","Khyber Pakhtunkhwa","Bannu","pop_girls_middle_student",2792
"80","Khyber Pakhtunkhwa","Batagram","pop_girls_middle_student",679
"81","Khyber Pakhtunkhwa","Buner","pop_girls_middle_student",2272
"82","Khyber Pakhtunkhwa","Charsadda","pop_girls_middle_student",3772
"83","Khyber Pakhtunkhwa","Chitral","pop_girls_middle_student",3170
"84","Khyber Pakhtunkhwa","Dera Ismail Khan","pop_girls_middle_student",3037
"85","Khyber Pakhtunkhwa","FR Bannu","pop_girls_middle_student",0
"86","Khyber Pakhtunkhwa","FR Dera Ismail Khan","pop_girls_middle_student",0
"87","Khyber Pakhtunkhwa","FR Kohat","pop_girls_middle_student",0
"88","Khyber Pakhtunkhwa","FR Lakki Marwat","pop_girls_middle_student",0
"89","Khyber Pakhtunkhwa","FR Peshawar","pop_girls_middle_student",0
"90","Khyber Pakhtunkhwa","FR Tank","pop_girls_middle_student",0
"91","Khyber Pakhtunkhwa","Hangu","pop_girls_middle_student",406
"92","Khyber Pakhtunkhwa","Haripur","pop_girls_middle_student",3661
"93","Khyber Pakhtunkhwa","Karak","pop_girls_middle_student",2820
"94","Khyber Pakhtunkhwa","Khyber","pop_girls_middle_student",0
"95","Khyber Pakhtunkhwa","Kohat","pop_girls_middle_student",2751
"96","Khyber Pakhtunkhwa","Kohistan","pop_girls_middle_student",169
"97","Khyber Pakhtunkhwa","Kurram","pop_girls_middle_student",0
"98","Khyber Pakhtunkhwa","Lakki Marwat","pop_girls_middle_student",2840
