"","adm1_en","adm2_en","adm3_en","variable","value"
"1","Khyber Pakhtunkhwa","Abbottabad","Abbottabad","student_pop",183592
"2","Khyber Pakhtunkhwa","Bajaur","Bar Chamarkand","student_pop",NA
"3","Khyber Pakhtunkhwa","Bajaur","Barang","student_pop",NA
"4","Khyber Pakhtunkhwa","Bajaur","Khar","student_pop",NA
"5","Khyber Pakhtunkhwa","Bajaur","Mamund","student_pop",NA
"6","Khyber Pakhtunkhwa","Bajaur","Nawagai","student_pop",NA
"7","Khyber Pakhtunkhwa","Bajaur","Salarzai Tehsil","student_pop",NA
"8","Khyber Pakhtunkhwa","Bajaur","Utman Khel Tehsil","student_pop",NA
"9","Khyber Pakhtunkhwa","Bannu","Bannu","student_pop",96911
"10","Khyber Pakhtunkhwa","Bannu","Domel","student_pop",28428
"11","Khyber Pakhtunkhwa","Batagram","Alai","student_pop",23141
"12","Khyber Pakhtunkhwa","Batagram","Batagram","student_pop",42179
"13","Khyber Pakhtunkhwa","Buner","Chagharzai","student_pop",21334
"14","Khyber Pakhtunkhwa","Buner","Chamla","student_pop",35019
"15","Khyber Pakhtunkhwa","Buner","Daggar","student_pop",25868
"16","Khyber Pakhtunkhwa","Buner","Gagra","student_pop",27822
"17","Khyber Pakhtunkhwa","Buner","Pir Baba/ Gadaizi","student_pop",29742
"18","Khyber Pakhtunkhwa","Buner","Totalai","student_pop",24824
"19","Khyber Pakhtunkhwa","Charsadda","Charsadda","student_pop",153353
"20","Khyber Pakhtunkhwa","Charsadda","Tangi","student_pop",58112
"21","Khyber Pakhtunkhwa","Chitral","Chitral","student_pop",45075
"22","Khyber Pakhtunkhwa","Chitral","Mastuj","student_pop",34650
"23","Khyber Pakhtunkhwa","Dera Ismail Khan","Daraban","student_pop",12750
"24","Khyber Pakhtunkhwa","Dera Ismail Khan","Dera Ismail Khan","student_pop",104212
"25","Khyber Pakhtunkhwa","Dera Ismail Khan","Kulachi","student_pop",10732
"26","Khyber Pakhtunkhwa","Dera Ismail Khan","Paharpur","student_pop",48966
"27","Khyber Pakhtunkhwa","FR Bannu","Wazir","student_pop",44
"28","Khyber Pakhtunkhwa","FR Dera Ismail Khan","Drazanda","student_pop",NA
"29","Khyber Pakhtunkhwa","FR Kohat","Darra Adam Khel","student_pop",66
"30","Khyber Pakhtunkhwa","FR Lakki Marwat","Bettani","student_pop",NA
"31","Khyber Pakhtunkhwa","FR Peshawar","Hassan Khel","student_pop",NA
"32","Khyber Pakhtunkhwa","FR Tank","Jandola","student_pop",88
"33","Khyber Pakhtunkhwa","Hangu","Hangu","student_pop",34531
"34","Khyber Pakhtunkhwa","Hangu","Tall","student_pop",27193
"35","Khyber Pakhtunkhwa","Haripur","Ghazi","student_pop",22886
"36","Khyber Pakhtunkhwa","Haripur","Haripur","student_pop",117966
"37","Khyber Pakhtunkhwa","Karak","Banda Daud Shah","student_pop",24911
"38","Khyber Pakhtunkhwa","Karak","Karak","student_pop",44931
"39","Khyber Pakhtunkhwa","Karak","Takht E Nasrati","student_pop",44137
"40","Khyber Pakhtunkhwa","Khyber","Bara","student_pop",NA
"41","Khyber Pakhtunkhwa","Khyber","Jamrud","student_pop",NA
"42","Khyber Pakhtunkhwa","Khyber","Landi Kotal","student_pop",NA
"43","Khyber Pakhtunkhwa","Kohat","Kohat","student_pop",115377
"44","Khyber Pakhtunkhwa","Kohat","Lachi","student_pop",26677
"45","Khyber Pakhtunkhwa","Kohistan","Dassu","student_pop",30859
"46","Khyber Pakhtunkhwa","Kohistan","Palas","student_pop",36947
"47","Khyber Pakhtunkhwa","Kohistan","Pattan","student_pop",3767
"48","Khyber Pakhtunkhwa","Kurram","Central Kurram","student_pop",NA
"49","Khyber Pakhtunkhwa","Kurram","Lower Kurram","student_pop",64
"50","Khyber Pakhtunkhwa","Kurram","Upper Kurram","student_pop",NA
"51","Khyber Pakhtunkhwa","Lakki Marwat","Lakki Marwat","student_pop",78855
"52","Khyber Pakhtunkhwa","Lakki Marwat","Sarai Naurang","student_pop",40062
"53","Khyber Pakhtunkhwa","Lower Dir","Samar Bagh","student_pop",74637
"54","Khyber Pakhtunkhwa","Lower Dir","Timergara","student_pop",187369
"55","Khyber Pakhtunkhwa","Malakand PA","Sam Ranizai","student_pop",60747
"56","Khyber Pakhtunkhwa","Malakand PA","Swat Ranizai","student_pop",71248
"57","Khyber Pakhtunkhwa","Mansehra","Balakot","student_pop",54034
"58","Khyber Pakhtunkhwa","Mansehra","Mansehra","student_pop",127619
"59","Khyber Pakhtunkhwa","Mansehra","Oghi","student_pop",46605
"60","Khyber Pakhtunkhwa","Mardan","Katlang","student_pop",44108
"61","Khyber Pakhtunkhwa","Mardan","Mardan","student_pop",201146
"62","Khyber Pakhtunkhwa","Mardan","Takht Bhai","student_pop",109680
"63","Khyber Pakhtunkhwa","Mohmand","Ambar Utman Khel","student_pop",NA
"64","Khyber Pakhtunkhwa","Mohmand","Halimzai","student_pop",NA
"65","Khyber Pakhtunkhwa","Mohmand","Pindiali","student_pop",NA
"66","Khyber Pakhtunkhwa","Mohmand","Prang Ghar","student_pop",NA
"67","Khyber Pakhtunkhwa","Mohmand","Safi","student_pop",NA
"68","Khyber Pakhtunkhwa","Mohmand","Upper Momand","student_pop",NA
"69","Khyber Pakhtunkhwa","Mohmand","Yaka Ghund","student_pop",NA
"70","Khyber Pakhtunkhwa","North Waziristan","Data Khel","student_pop",NA
"71","Khyber Pakhtunkhwa","North Waziristan","Dossali","student_pop",NA
"72","Khyber Pakhtunkhwa","North Waziristan","Garyum","student_pop",NA
"73","Khyber Pakhtunkhwa","North Waziristan","Ghulam Khan","student_pop",NA
"74","Khyber Pakhtunkhwa","North Waziristan","Mir Ali","student_pop",NA
"75","Khyber Pakhtunkhwa","North Waziristan","Miran Shah","student_pop",NA
"76","Khyber Pakhtunkhwa","North Waziristan","Razmak","student_pop",NA
"77","Khyber Pakhtunkhwa","North Waziristan","Shewa","student_pop",NA
"78","Khyber Pakhtunkhwa","North Waziristan","Spinwam","student_pop",NA
"79","Khyber Pakhtunkhwa","Nowshera","Nowshera","student_pop",125716
"80","Khyber Pakhtunkhwa","Nowshera","Pabbi","student_pop",55490
"81","Khyber Pakhtunkhwa","Orakzai","Central Orakzai","student_pop",NA
"82","Khyber Pakhtunkhwa","Orakzai","Ismailzai","student_pop",129
"83","Khyber Pakhtunkhwa","Orakzai","Lower Orakzai","student_pop",NA
"84","Khyber Pakhtunkhwa","Orakzai","Upper Orakzai","student_pop",NA
"85","Khyber Pakhtunkhwa","Peshawar","Peshawar","student_pop",375947
"86","Khyber Pakhtunkhwa","Shangla","Alpuri","student_pop",43733
"87","Khyber Pakhtunkhwa","Shangla","Bisham","student_pop",9957
"88","Khyber Pakhtunkhwa","Shangla","Chiksar","student_pop",12994
"89","Khyber Pakhtunkhwa","Shangla","Martung","student_pop",7255
"90","Khyber Pakhtunkhwa","Shangla","Puran","student_pop",22120
"91","Khyber Pakhtunkhwa","South Waziristan","Birmal","student_pop",NA
"92","Khyber Pakhtunkhwa","South Waziristan","Ladha","student_pop",NA
"93","Khyber Pakhtunkhwa","South Waziristan","Makin","student_pop",NA
"94","Khyber Pakhtunkhwa","South Waziristan","Sararogha","student_pop",NA
"95","Khyber Pakhtunkhwa","South Waziristan","Serwekai","student_pop",NA
"96","Khyber Pakhtunkhwa","South Waziristan","Tiarza","student_pop",NA
"97","Khyber Pakhtunkhwa","South Waziristan","Toi Khulla","student_pop",NA
"98","Khyber Pakhtunkhwa","South Waziristan","Wana","student_pop",NA
"99","Khyber Pakhtunkhwa","Swabi","Lahor","student_pop",80973
"100","Khyber Pakhtunkhwa","Swabi","Swabi","student_pop",124225
"101","Khyber Pakhtunkhwa","Swabi","Topi","student_pop",47434
"102","Khyber Pakhtunkhwa","Swat","Babuzai","student_pop",79003
"103","Khyber Pakhtunkhwa","Swat","Bahrain","student_pop",23208
"104","Khyber Pakhtunkhwa","Swat","Barikot","student_pop",32219
"105","Khyber Pakhtunkhwa","Swat","Charbagh","student_pop",16943
"106","Khyber Pakhtunkhwa","Swat","Kabal","student_pop",68283
"107","Khyber Pakhtunkhwa","Swat","Kalam","student_pop",12903
"108","Khyber Pakhtunkhwa","Swat","Khwazakhela","student_pop",41819
"109","Khyber Pakhtunkhwa","Swat","Matta Khararai","student_pop",39850
"110","Khyber Pakhtunkhwa","Swat","Matta Sebujni","student_pop",27919
"111","Khyber Pakhtunkhwa","Tank","Tank","student_pop",45835
"112","Khyber Pakhtunkhwa","Tor Ghar","Tor Ghar","student_pop",16883
"113","Khyber Pakhtunkhwa","Upper Dir","Barawal","student_pop",18281
"114","Khyber Pakhtunkhwa","Upper Dir","Dir","student_pop",83394
"115","Khyber Pakhtunkhwa","Upper Dir","Kalkot","student_pop",3325
"116","Khyber Pakhtunkhwa","Upper Dir","Wari","student_pop",87154
"117","Khyber Pakhtunkhwa","Abbottabad","Abbottabad","pop_girls_primary_student",47923
"118","Khyber Pakhtunkhwa","Bajaur","Bar Chamarkand","pop_girls_primary_student",0
"119","Khyber Pakhtunkhwa","Bajaur","Barang","pop_girls_primary_student",0
"120","Khyber Pakhtunkhwa","Bajaur","Khar","pop_girls_primary_student",0
"121","Khyber Pakhtunkhwa","Bajaur","Mamund","pop_girls_primary_student",0
"122","Khyber Pakhtunkhwa","Bajaur","Nawagai","pop_girls_primary_student",0
"123","Khyber Pakhtunkhwa","Bajaur","Salarzai Tehsil","pop_girls_primary_student",0
"124","Khyber Pakhtunkhwa","Bajaur","Utman Khel Tehsil","pop_girls_primary_student",0
"125","Khyber Pakhtunkhwa","Bannu","Bannu","pop_girls_primary_student",28377
"126","Khyber Pakhtunkhwa","Bannu","Domel","pop_girls_primary_student",6760
"127","Khyber Pakhtunkhwa","Batagram","Alai","pop_girls_primary_student",4297
"128","Khyber Pakhtunkhwa","Batagram","Batagram","pop_girls_primary_student",12088
"129","Khyber Pakhtunkhwa","Buner","Chagharzai","pop_girls_primary_student",3568
"130","Khyber Pakhtunkhwa","Buner","Chamla","pop_girls_primary_student",7993
"131","Khyber Pakhtunkhwa","Buner","Daggar","pop_girls_primary_student",4917
"132","Khyber Pakhtunkhwa","Buner","Gagra","pop_girls_primary_student",6043
"133","Khyber Pakhtunkhwa","Buner","Pir Baba/ Gadaizi","pop_girls_primary_student",7506
"134","Khyber Pakhtunkhwa","Buner","Totalai","pop_girls_primary_student",5852
"135","Khyber Pakhtunkhwa","Charsadda","Charsadda","pop_girls_primary_student",43196
"136","Khyber Pakhtunkhwa","Charsadda","Tangi","pop_girls_primary_student",14668
"137","Khyber Pakhtunkhwa","Chitral","Chitral","pop_girls_primary_student",8434
"138","Khyber Pakhtunkhwa","Chitral","Mastuj","pop_girls_primary_student",6222
"139","Khyber Pakhtunkhwa","Dera Ismail Khan","Daraban","pop_girls_primary_student",3542
"140","Khyber Pakhtunkhwa","Dera Ismail Khan","Dera Ismail Khan","pop_girls_primary_student",31026
"141","Khyber Pakhtunkhwa","Dera Ismail Khan","Kulachi","pop_girls_primary_student",3328
