X1,variable,Division_Name,District_Name,District_Code,value,Column,Indicator_v2,Description,Source,Unit
1,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Abbottabad,PK201,0.220601871,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
2,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bajaur,PK232,0.272634396,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
3,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bannu,PK202,0.170889666,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
4,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Batagram,PK203,0.382301598,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
5,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Buner,PK204,0.257284967,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
6,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Charsadda,PK205,0.134227933,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
7,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Chitral,PK206,0.83078778,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
8,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,Dera Ismail Khan,PK207,0.23513039,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
9,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Bannu,FR Bannu,PK239,0.474817609,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
10,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,FR Dera Ismail Khan,PK240,0.69883415,G,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
