"","District_Name","Composite Inaccessibility Index, equal weights","Composite Inaccessibility Index, education-preferred","Education Inaccessibility Index, equal weights","Additional travel time to high school for girls (person-hours)","Additional travel time to middle school for girls (person-hours)","Additional travel time to primary school for girls (person-hours)","Additional travel time to school for girls (person-hours), equal weights","Health Inaccessibility Index","Market Inaccessibility Index","Additional travel time to school for girls (person-hours), primary- and middle-preferred"
"1","Abbottabad",0.220601871,0.226201391,0.242999951,0.134148398,0.001716311,0.065675793,0.067180167,0.23120584,0.187599823,0.053786521
"2","Bajaur",0.272634396,0.283100539,0.314498969,0.312271988,0.097231998,0.254529363,0.22134445,0.27445799,0.228946228,0.203158942
"3","Bannu",0.170889666,0.170232174,0.168259696,0.086736146,0.054212896,0.027916742,0.056288595,0.154236819,0.190172483,0.050199084
"4","Batagram",0.382301598,0.38228221,0.382224048,0.784505162,0.126931967,0.198075127,0.369837419,0.357172209,0.407508536,0.28690387
"5","Buner",0.257284967,0.267126531,0.296651221,0.100765368,0.10826605,0.177668009,0.128899809,0.270125205,0.205078475,0.134526697
"6","Charsadda",0.134227933,0.143512062,0.171364448,0.02671068,0.023641349,0.034681687,0.028344572,0.133321548,0.097997802,0.02867135
"7","Chitral",0.83078778,0.783744458,0.642614489,0.509304142,0.091981964,0.574635295,0.3919738,0.908342432,0.94140642,0.368507732
"8","Dera Ismail Khan",0.23513039,0.246793856,0.281784255,0.09306841,0.131828246,0.279860823,0.168252493,0.254681229,0.168925685,0.18328931
"9","FR Bannu",0.474817609,0.485577661,0.517857817,0.527188717,0.349523709,0.061428795,0.31271374,0.53073595,0.375859061,0.269818745
"10","FR Dera Ismail Khan",0.69883415,0.717232072,0.772425836,0.190081071,0.628744789,0.242796987,0.353874282,0.794981895,0.529094719,0.386632925
"11","FR Kohat",0.22118786,0.223106128,0.228860932,0.332158614,-0.065274816,-0.043864759,0.07433968,0.252099235,0.182603414,0.022775893
"12","FR Lakki Marwat",0.646521353,0.633159449,0.593073734,0.669814289,0.252903745,0.048870604,0.323862879,0.758252448,0.588237878,0.254672597
