X1,variable,Division_Name,District_Name,District_Code,Tehsil_Name,Tehsil_Code,value,Column,Indicator_v2,Description,Source,Unit
1,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Abbottabad,PK201,Abbottabad,PK20101,0.155272215,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
2,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Batagram,PK203,Alai,PK20301,0.397159013,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
3,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Shangla,PK220,Alpuri,PK22003,0.288746191,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
4,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Mohmand,PK235,Ambar Utman Khel,PK23501,0.39865775,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
5,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Babuzai,PK22209,0.087302727,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
6,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Bahrain,PK22202,0.308474985,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
7,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Mansehra,PK216,Balakot,PK21601,0.26687728,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
8,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,Karak,PK210,Banda Daud Shah,PK21001,0.185333105,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
9,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bannu,PK202,Bannu,PK20202,0.12176454,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
10,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bajaur,PK232,Bar Chamarkand,PK23202,0.311640137,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
11,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Khyber,PK233,Bara,PK23302,0.203166126,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
12,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Bajaur,PK232,Barang,PK23201,0.368345548,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
13,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Upper Dir,PK230,Barawal,PK23003,0.203125832,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
14,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Barikot,PK22207,0.111839648,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
15,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Hazara,Batagram,PK203,Batagram,PK20302,0.187213413,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
16,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Bannu,FR Lakki Marwat,PK242,Bettani,PK24201,0.455281714,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
17,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,South Waziristan,PK238,Birmal,PK23802,0.639033967,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
18,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Shangla,PK220,Bisham,PK22004,0.246192321,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
19,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Kurram,PK234,Central Kurram,PK23401,0.509135729,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
20,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",F.A.T.A.,Orakzai,PK237,Central Orakzai,PK23703,0.37779099,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
21,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Buner,PK204,Chagharzai,PK20401,0.247391108,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
22,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Buner,PK204,Chamla,PK20402,0.215110239,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
23,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Swat,PK222,Charbagh,PK22205,0.121507374,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
24,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Peshawar,Charsadda,PK205,Charsadda,PK20502,0.084138962,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
25,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Shangla,PK220,Chiksar,PK22002,0.322772262,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
26,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Malakand,Chitral,PK206,Chitral,PK20602,0.559363212,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
27,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Mardan,Buner,PK204,Daggar,PK20405,0.174296949,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
28,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Dera Ismail Khan,Dera Ismail Khan,PK207,Daraban,PK20701,0.297950788,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
29,"Composite Index, All services and school types weighed equally (Composite Idx_Edu_eqwt)",Kohat,FR Kohat,PK241,Darra Adam Khel,PK24101,0.155541727,I,"Composite Inaccessibility Index, equal weights","Integrated index indicating relative access to education, healthcare and markets, with all school types and services weighed equally. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
