"","Tehsil_Name","Aerosol_Exposure_Index","Air_Quality_Exposure_Index","Drought_Wetness_Exposure_Index","Flooding_Exposure_Index","Heatwave_Exposure_Index","Integrated_Exposure_Index","Landslide_Exposure_Index","Normalised_Integrated_Exposure_Index","Ozone_Exposure_Index","Population_Density","Population_exposed_aerosol","Population_exposed_drought_wetness","Population_exposed_flooding","Population_exposed_heatwaves","Population_exposed_landslides","Population_exposed_ozone","Population_share_exposed_aerosol","Population_share_exposed_drought_wetness","Population_share_exposed_flooding","Population_share_exposed_heatwaves","Population_share_exposed_landslides","Population_share_exposed_ozone","Tehsil_Area","Tehsil_Population"
"1","Abbottabad","0","0","87.30447983","25.85659402","0","29.08747739","32.2763131","52.85891479","0","924.8228247","","1422037.808","158881.4455","","5197.661554","","0","87.30447983","9.754355248","0","0.319104834","0","1761.23","1628825.704"
"2","Bar Chamarkand","0","0","56.59620281","24.87504684","0","16.29424993","0","29.61055567","0","81.5059786","","768.5139539","127.4252875","","0","","0","56.59620281","9.384068276","0","0","0","16.66","1357.889604"
"3","Barang","0","0","0","16.01927382","0","17.17687331","69.8650927","31.21449379","0","277.2447847","","","4470.121086","","510.9270703","","0","0","6.043243266","0","0.690732201","0","266.8","73968.90856"
"4","Khar","0","0","7.444033227","39.25057078","0","10.80238006","7.317296286","19.63051245","0","751.9624241","","15452.82641","30737.80501","","150.1757213","","0","7.444033227","14.80720975","0","0.072343598","0","276.06","207586.7468"
"5","Mamund","0","0","78.64076898","42.08801429","0","24.26886514","0.615542419","44.10234195","0","859.8429207","","180352.6193","36413.32945","","13.95668101","","0","78.64076898","15.87763039","0","0.006085657","0","266.72","229337.3038"
"6","Nawagai","0","0","95.72610437","32.00147497","0","28.19865105","13.26567594","51.24370441","0","492.0101551","","60149.13096","7585.709709","","82.4096024","","0","95.72610437","12.07250093","0","0.131153187","0","127.71","62834.61691"
"7","Salarzai Tehsil","0","0","28.78977058","34.02893766","0","12.60897965","0.226190021","22.91353671","0","945.9856557","","64788.65162","28889.25753","","5.03249836","","0","28.78977058","12.83735771","0","0.002236263","0","237.89","225040.5276"
"8","Utman Khel Tehsil","0","0","0","25.9071608","0","14.02371123","44.21139537","25.48444291","0","393.9328329","","","6552.058568","","293.0315509","","0","0","9.773431477","0","0.437102897","0","170.18","67039.48949"
"9","Bannu","99.9406967","49.97034835","100","24.68609863","5.525210704","36.03633154","0","65.48664748","0","1344.565915","963522.3581","964094.0977","89784.0384","41725.49403","0","","99.9406967","100","9.312787892","4.327948291","0","0","717.03","964094.0977"
"10","Domel","100","50","100","24.61893874","2.982508082","35.52028936","0","64.54887523","0","592.5236875","275671.6456","275671.6456","25602.8716","6440.312586","0","","100","100","9.287451941","2.336225974","0","0","465.25","275671.6456"
"11","Alai","0","0.304504456","41.12575194","12.70749071","0","30.82754942","100","56.02104253","0.609008912","268.9934409","","90813.64098","10585.81474","","2183.165701","1280.481426","0","41.12575194","4.793878831","0","0.98866569","0.579877218","820.91","220819.4056"
"12","Batagram","0","0","22.6548819","20.25783317","0","23.68607168","75.51764333","43.04326662","0","643.3855091","","78474.77198","26472.10653","","2586.224083","","0","22.6548819","7.642232428","0","0.74661703","0","538.39","346392.3242"
"13","Chagharzai","0","0","35.00231634","15.13066562","0","10.02659639","0","18.22072767","0","325.3499631","","31094.94036","5070.820392","","0","","0","35.00231634","5.708017362","0","0","0","273.05","88836.80743"
"14","Chamla","0","0","97.10600005","31.62349792","0","29.86519379","20.59647096","54.27221179","0","477.4324242","","139566.8192","17146.41273","","292.6701247","","0","97.10600005","11.92990974","0","0.203630242","0","301.04","143726.257"
"15","Daggar","0","0","34.29278797","38.05683852","0","18.25946987","18.94772287","33.18183111","0","551.2450555","","54508.90491","22820.47196","","297.7632871","","0","34.29278797","14.35687632","0","0.187329635","0","288.35","158951.5118"
"16","Gagra","0","0","79.00128826","40.47612668","0","26.15760549","11.31061252","47.53463565","0","704.1887661","","111141.2494","21481.63334","","157.3173742","","0","79.00128826","15.26954859","0","0.111824145","0","199.78","140682.8317"
"17","Pir Baba/ Gadaizi","0","0","14.21340789","33.92575228","0","14.089095","22.3063148","25.60326087","0","551.7558944","","28927.22427","26047.45412","","448.8340882","","0","14.21340789","12.79843121","0","0.220534881","0","368.86","203520.6792"
"18","Totalai","0","0","99.40707998","34.17126944","0.37354937","27.21646302","2.130416325","49.45883345","0","624.389135","","190606.7729","24717.7751","561.050869","40.3863827","","0","99.40707998","12.89105213","0.292604653","0.021062695","0","307.09","191743.6595"
"19","Charsadda","0","0","57.59435837","81.55397636","1.006160567","28.03089906","0","50.93885884","0","2209.982645","","821570.5624","438871.4384","11242.56576","0","","0","57.59435837","30.76609613","0.788134813","0","0","645.47","1426477.498"
"20","Tangi","0","0","19.67778761","59.63666248","1.819033056","16.22669663","0","29.48779514","0","1363.946141","","92426.98805","105672.7755","6692.622699","0","","0","19.67778761","22.49782749","1.4248653","0","0","344.37","469702.1326"
"21","Chitral","0.468669885","13.6478705","4.046632957","22.5383502","0","16.60581193","42.79620599","30.17673846","26.82707112","56.69436203","1572.181271","13574.67324","28522.32633","","1419.352616","85688.24135","0.468669885","4.046632957","8.502553522","0","0.423111405","25.54380908","5916.92","335456.0046"
"22","Mastuj","3.130006484","51.56500324","26.8202834","21.56721332","0","28.25113833","41.30319169","51.33908636","100","28.4413092","7774.094703","66614.37419","20208.11829","","1014.232834","236492.2911","3.130006484","26.8202834","8.136193819","0","0.408350485","95.21654065","8732.83","248373.1182"
"23","Daraban","98.89053455","49.44526727","98.55192921","27.14539305","100","55.02851791","0","100","0","110.3872983","186399.4879","185761.2482","19302.4918","147646.518","0","","98.89053455","98.55192921","10.24055245","78.33091846","0","0","1707.54","188490.7274"
"24","Dera Ismail Khan","84.34137301","42.17068651","95.56562769","60.98802798","21.15076367","44.13598643","0.804826285","80.20566082","0","272.8386588","778574.0377","882187.6378","212388.5469","152939.0972","73.45322455","","84.34137301","95.56562769","23.00762778","16.56758744","0.007957041","0","3383.4","923122.3182"
"25","Kulachi","100","50","100","54.9515833","22.40873116","45.47206289","0","82.63363183","0","94.21027751","105488.1898","105488.1898","21868.11262","18516.30497","0","","100","100","20.73038949","17.55296493","0","0","1119.71","105488.1898"
"26","Paharpur","39.12505016","19.56252508","98.46378109","69.85492097","11.58979611","40.64668445","3.762399005","73.86476321","0","308.4700998","141071.0533","355025.4698","95018.30068","32733.46775","134.1211646","","39.12505016","98.46378109","26.35264778","9.078393742","0.037197548","0","1168.88","360564.5303"
"27","Wazir","67.06711398","33.53355699","100","27.28302268","74.78167119","47.13469832","0.075240751","85.65503872","0","54.46237811","29991.41678","44718.51404","4602.640977","26194.83994","0.332651854","","67.06711398","100","10.29247299","58.57716988","0.000743879","0","821.09","44718.51404"
"28","Drazanda","89.12821129","44.56410564","96.36280779","16.63103385","40.94292691","46.63124483","34.65534994","84.74014311","0","33.21540638","49205.59905","53199.65043","3463.744364","17705.63217","189.1555483","","89.12821129","96.36280779","6.274028677","32.07097069","0.342625555","0","1662.11","55207.6591"
"29","Darra Adam Khel","0","0","100","26.21348198","4.784641844","26.19962476","0","47.61099474","0","342.5832616","","160397.4831","15861.69204","6011.463327","0","","0","100","9.888990611","3.747853901","0","0","468.2","160397.4831"
"30","Bettani","7.662526037","3.831263018","100","16.43825293","19.4715411","31.70149514","18.76641867","57.60921128","0","69.48594644","973.7223836","12707.58989","788.0360775","1938.191724","23.57729918","","7.662526037","100","6.201302408","15.25223698","0.185537143","0","182.88","12707.58989"
"31","Hassan Khel","0","0","100","20.28608311","0.118529968","24.08092261","0","43.76080536","0","313.2768884","","81358.00791","6226.238581","75.53734088","0","","0","100","7.652889667","0.092845613","0","0","259.7","81358.00791"
"32","Jandola","39.81500714","19.90750357","100","18.81152435","34.24754487","38.15529656","17.80991002","69.33731457","0","32.37892602","14762.25327","37077.10818","2631.219597","9946.459446","65.28554632","","39.81500714","100","7.096614935","26.82641644","0.17608047","0","1145.1","37077.10818"
"33","Hangu","0","0","100","32.09146605","0","26.44186099","0.117838914","48.05119599","0","558.9735355","","370537.967","44858.99336","","4.316889286","","0","100","12.10644991","0","0.001165033","0","662.89","370537.967"
"34","Tall","0","0","100","31.3460872","0","26.38934868","0.60065621","47.95576855","0","285.8501983","","205043.2057","24246.8861","","12.17645359","","0","100","11.82525703","0","0.005938482","0","717.31","205043.2057"
"35","Ghazi","0","0","96.16972216","33.89899075","0","28.10274437","10.44500895","51.06941899","0","344.3300575","","197396.6163","26249.15714","","211.9627875","","0","96.16972216","12.78833547","0","0.10326622","0","596.11","205258.5906"
"36","Haripur","0","0","97.52610612","35.26962476","0","27.24286502","3.418594197","49.5068122","0","798.9289055","","1036561.163","141417.1691","","359.2287297","","0","97.52610612","13.30540477","0","0.033798468","0","1330.35","1062855.069"
"37","Banda Daud Shah","3.748896112","1.874448056","100","21.54249038","0.615253996","24.92881033","0.611859233","45.30162047","0","188.4036618","7755.378454","206870.9887","16812.13039","996.9818501","12.51412737","","3.748896112","100","8.126867133","0.481934106","0.006049242","0","1098.02","206870.9887"
