"","admin1Name"
"1","Abbottabad"
"2","Bajaur Agency"
"3","Bannu"
"4","Batagram"
"5","Buner"
"6","Charsadda"
"7","Chitral"
"8","Dera Ismail Khan"
"9","FR Bannu"
"10","FR Dera Ismail Khan"
"11","FR Kohat"
"12","FR Lakki Marwat"
"13","FR Peshawar"
"14","FR Tank"
"15","Hangu"
"16","Haripur"
"17","Karak"
"18","Khyber Agency"
"19","Kohat"
"20","Kohistan"
"21","Kurram Agency"
"22","Lakki Marwat"
"23","Lower Dir"
"24","Malakand PA"
"25","Mansehra"
"26","Mardan"
"27","Mohmand Agency"
"28","North Waziristan Agency"
"29","Nowshera"
"30","Orakzai Agency"
"31","Peshawar"
"32","Shangla"
"33","South Waziristan Agency"
"34","Swabi"
"35","Swat"
"36","Tank"
"37","Tor Ghar"
"38","Upper Dir"
